wall_time,repeat_idx,direction,flexiv_x,flexiv_y,flexiv_z,flexiv_rw,flexiv_rx,flexiv_ry,flexiv_rz,slam_host_ts,slam_edge_ts,slam_confidence,slam_x,slam_y,slam_z,slam_roll,slam_pitch,slam_yaw,slam_qw,slam_qx,slam_qy,slam_qz
1766047040.5111353,0,+X,0.5475854873657227,-0.0009730665478855371,0.34996935725212097,0.0024104067124426365,-5.349983985070139e-05,0.9999966621398926,0.0009430978680029511,2061.670156,1357686254,0.39,-0.0001129264201154001,4.406693915370852e-05,0.00021955269039608538,0.007140707224607468,-0.0004066623223479837,-2.9276294708251953,-0.0005834006587974727,-0.003528222907334566,0.9942764639854431,-0.10677771270275116
1766047040.5613286,0,+X,0.5493580102920532,-0.000347949709976092,0.34994250535964966,0.0007514973403885961,-1.8640443158801645e-05,0.9999996423721313,0.00035399867920204997,2061.7201569999997,1357736254,0.45,-2.9567123419838026e-05,0.00014592854131478816,0.00040888943476602435,0.005061362870037556,-0.001100064953789115,-2.9281976222991943,-0.0008164079044945538,-0.0024577113799750805,0.9943097233772278,-0.10649624466896057
1766047040.6116178,0,+X,0.550241231918335,0.00013678135292138904,0.35012325644493103,-0.0002299279731232673,-2.087139364448376e-05,1.0,-5.926461017224938e-05,2061.770157,1357786255,0.41,0.00027789079467765987,0.00012355277431197464,0.0006362200947478414,0.006028811447322369,-0.0011395374312996864,-2.928377628326416,-0.0008872806211002171,-0.0029366607777774334,0.9943179488182068,-0.10640684515237808
1766047040.6619,0,+X,0.5506378412246704,0.0002806991105899215,0.3501203656196594,-0.0005969565827399492,1.039910512190545e-05,0.9999998211860657,-0.00019809546938631684,2061.820163,1357836260,0.45,0.0006711675669066608,4.9927413783734664e-05,0.0006207521073520184,0.0015249941498041153,-0.0021615223959088326,-2.9304800033569336,-0.0011550822528079152,-0.0006443831953220069,0.9944331645965576,-0.10536117106676102
1766047040.712168,0,+X,0.5506949424743652,0.0002418378571746871,0.3500603437423706,-0.0006441480945795774,-6.6582911131263245e-06,0.9999997615814209,-0.00013371506065595895,2061.8701619999997,1357886245,0.43,0.0007852306589484215,-1.663990224187728e-05,0.0003947667428292334,-0.0009655683534219861,-0.0009730411693453789,-2.931886911392212,-0.0004333199467509985,0.0005310522974468768,0.9945077896118164,-0.10466060042381287
1766047040.7624264,0,+X,0.5505940318107605,0.00023629367933608592,0.35006794333457947,-0.0005174719262868166,-1.2772831723850686e-05,0.9999998807907104,-0.000113354813947808,2061.920156,1357936240,0.33,0.00034580708597786725,2.2815864213043824e-05,0.00011555841047083959,0.00027360819512978196,0.0038852051366120577,-2.93273663520813,0.0019177584908902645,-0.00033855196670629084,0.9945504665374756,-0.10423779487609863
1766047040.8126729,0,+X,0.5504341125488281,0.00021971708338242024,0.3500708043575287,-0.0003864472673740238,-7.668562830076553e-06,0.9999999403953552,-9.609819971956313e-05,2061.97016,1357986243,0.34,-0.0005661043687723577,0.00011843186075566337,-0.00023977803357411176,0.016174204647541046,0.007627064362168312,-2.9256415367126465,0.0029196925461292267,-0.008450813591480255,0.9941399097442627,-0.10773087292909622
1766047040.8629565,0,+X,0.5503209829330444,0.00019097862241324037,0.3500625193119049,-0.0002511215570848435,-5.590722594206454e-06,0.9999999403953552,-6.192996079334989e-05,2062.022156,1358038240,0.35,-0.0011746323434635997,0.00043895875569432974,-0.0006296189967542887,0.007057209499180317,0.006600812543183565,-2.92842698097229,0.002906277310103178,-0.0038596531376242638,0.9943150877952576,-0.10636832565069199
1766047040.9132254,0,+X,0.5502436757087708,0.00015576240548398346,0.35004907846450806,-0.00018752673349808902,-1.867870423666318e-06,1.0,-2.7645539375953376e-05,2062.072157,1358088246,0.39,-0.0010578911751508713,0.0006257629720494151,-0.0006393682560883462,0.004012797027826309,0.006086297333240509,-2.929516315460205,0.002813690109178424,-0.0023172027431428432,0.9943772554397583,-0.1058327704668045
1766047040.9634845,0,+X,0.5502091646194458,0.0001418803440174088,0.3500377833843231,-0.00014673161786049604,3.6713095141749363e-06,1.0,-1.9837789295706898e-05,2062.122158,1358138247,0.38,-0.0004894822486676276,0.0006104663480073214,-0.0002743902150541544,0.00439749751240015,0.0061724139377474785,-2.9295742511749268,0.002836219733580947,-0.0025129460263997316,0.9943798780441284,-0.10580321401357651
