wall_time,repeat_idx,direction,interp_idx,flexiv_x,flexiv_y,flexiv_z,flexiv_rw,flexiv_rx,flexiv_ry,flexiv_rz,slam_host_ts,slam_edge_ts,slam_confidence,slam_x,slam_y,slam_z,slam_roll,slam_pitch,slam_yaw,slam_qw,slam_qx,slam_qy,slam_qz
1766048420.6025066,0,+X,1,0.3539673388004303,-0.0005760362837463617,0.35002291202545166,0.0011062129633501172,-2.669029299795511e-06,0.9999992251396179,0.0005427285213954747,3441.761508,2737732400,0.36,-0.0005181293818168342,-0.0009437481057830155,-0.0002260132459923625,-0.13366970419883728,-0.0012132239062339067,3.1171085834503174,-0.0014227799838408828,0.06677267700433731,0.9976919293403625,0.012254945933818817
1766048420.8037171,0,+X,2,0.3581691086292267,-0.0006561290938407183,0.350369930267334,0.0015834048390388489,0.00010749199282145128,0.9999986290931702,0.0005277536110952497,3441.961426,2737932312,0.38,-0.00035893460153602064,-0.0008500890107825398,0.00022168173745740205,-0.13364006578922272,-0.0010582127142697573,3.1169345378875732,-0.001351078157313168,0.06675872951745987,0.9976919889450073,0.01233653537929058
1766048421.0550213,0,+X,3,0.3640594184398651,-0.00052826659521088,0.35005494952201843,0.0010181250981986523,-9.268855137634091e-06,0.9999993443489075,0.0005313548026606441,3442.2134229999997,2738184301,0.32,-0.00036032358184456825,-0.001338711241260171,-0.00013840623432770371,-0.13373211026191711,-0.0011154692620038986,3.1168951988220215,-0.001381522510200739,0.06680426746606827,0.9976885914802551,0.012358114123344421
1766048421.2561326,0,+X,4,0.36819615960121155,-0.0007035549497231841,0.35034796595573425,0.0015794741921126842,7.595281931571662e-05,0.9999985694885254,0.0005994857638143003,3442.415423,2738386308,0.33,-0.0004367012297734618,-0.0009168719407171011,0.0001594192726770416,-0.1337699145078659,-0.0011412710882723331,3.1170566082000732,-0.0013892290880903602,0.0668230727314949,0.9976882934570312,0.012278396636247635
1766048421.5075076,0,+X,5,0.37402939796447754,-0.0005840719677507877,0.3499852418899536,0.0010548372520133853,-3.476488564047031e-05,0.9999992847442627,0.0005589876673184335,3442.665434,2738636297,0.32,-0.00034494054852984846,-0.0010692771757021546,-8.259994501713663e-05,-0.13401111960411072,-0.0013143515679985285,3.117530584335327,-0.0014611773658543825,0.06694268435239792,0.9976829886436462,0.01204774808138609
1766048421.7086444,0,+X,6,0.3782329559326172,-0.0006275386549532413,0.35033321380615234,0.0015758974477648735,6.702655809931457e-05,0.9999986290931702,0.0005212327232584357,3442.8674349999997,2738838307,0.33,-0.0004785552737303078,-0.000838549982290715,-0.0002621806343086064,-0.13416919112205505,-0.0014058256056159735,3.117701292037964,-0.0015020319260656834,0.06702110916376114,0.9976786971092224,0.011965630576014519
1766048421.9095879,0,+X,7,0.38316938281059265,-0.0006264864932745695,0.35031652450561523,0.0017135291127488017,7.024480873951688e-05,0.9999983906745911,0.0005703337956219912,3443.067428,2739038297,0.34,-0.0003656722547020763,-0.0010561201488599181,8.280256588477641e-05,-0.13391374051570892,-0.0014166574692353606,3.117661714553833,-0.00150724605191499,0.06689359247684479,0.9976869821548462,0.011985796503722668
1766048422.1104586,0,+X,8,0.38818103075027466,-0.0006674673059023917,0.3503088355064392,0.0017300056060776114,6.79702206980437e-05,0.9999983310699463,0.0006305864662863314,3443.269472,2739240341,0.29,-0.00038579365354962647,-0.001034316373988986,-0.00012008970224997029,-0.13406004011631012,-0.0014323019422590733,3.1176528930664062,-0.001516210613772273,0.0669664666056633,0.9976820349693298,0.011990644037723541
1766048422.311466,0,+X,9,0.39317649602890015,-0.0006811365019530058,0.35031792521476746,0.0017427667044103146,7.60358598199673e-05,0.9999982714653015,0.0006563995848409832,3443.469462,2739440334,0.33,-0.00036198741872794926,-0.0012884109746664762,-9.732512808113825e-06,-0.13378848135471344,-0.00144848576746881,3.117694616317749,-0.0015212787548080087,0.06683093309402466,0.9976913332939148,0.011970444582402706
1766048422.5123131,0,+X,10,0.3981998860836029,-0.0006817746325396001,0.35028505325317383,0.0017243833281099796,7.215952064143494e-05,0.9999982714653015,0.0006598045001737773,3443.671421,2739642282,0.33,-0.0003714163904078305,-0.0011596386320888996,-6.546808435814455e-05,-0.134059339761734,-0.001392377889715135,3.1177799701690674,-0.0014920405810698867,0.0669664517045021,0.9976828098297119,0.011925987899303436
