host_timestamp,edge_timestamp,confidence,pos_x,pos_y,pos_z,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z
236351.0981,33951668,0.7,-0.0010077593615278602,0.0007789686787873507,0.0008182034362107515,1.2943038940429688,1.5645495653152466,0.05211649090051651,0.5733197331428528,-0.41010403633117676,0.41285812854766846,0.5767731666564941
236351.17207899998,34025646,0.35,-0.0008261101902462542,-0.0004198403039481491,-5.68952746107243e-05,1.2839211225509644,1.5648306608200073,0.04218519851565361,0.5734773278236389,-0.41005316376686096,0.4126496911048889,0.5768018960952759
236351.190042,34043610,0.43,-0.0007574366754852235,-0.00021183800708968192,6.492676766356453e-05,1.2768518924713135,1.56491219997406,0.03530644252896309,0.5735304355621338,-0.4100276529788971,0.4125657081604004,0.5768272876739502
236351.194019,34047587,0.43,-0.0007344716577790678,-0.00022179511142894626,4.859331966144964e-05,1.2752963304519653,1.5649133920669556,0.033745452761650085,0.5735276341438293,-0.4100320637226105,0.4125644862651825,0.5768278241157532
236351.208008,34061576,0.43,-0.0006693577161058784,-0.00026671832893043756,-7.959778486110736e-06,1.2755205631256104,1.5649317502975464,0.03393646702170372,0.5735262632369995,-0.41004520654678345,0.41257041692733765,0.5768156051635742
236351.25400999998,34107541,0.76,-0.00043890796951018274,-0.00036951492074877024,-0.0001598339731572196,1.2551348209381104,1.5650427341461182,0.013703040778636932,0.5735639333724976,-0.4100584089756012,0.4124697744846344,0.5768406987190247
236351.25801,34111542,0.76,-0.000428227533120662,-0.0003873425011988729,-0.00017343992658425122,1.2549077272415161,1.5650447607040405,0.013469685800373554,0.5735629796981812,-0.4100610017776489,0.4124707579612732,0.5768390893936157
236351.272016,34125548,0.76,-0.00039045969606377184,-0.00045118332491256297,-0.00022004051425028592,1.249929428100586,1.5650609731674194,0.008482043631374836,0.5735597014427185,-0.41007524728775024,0.41246193647384644,0.5768385529518127
236351.29203699998,34145568,0.22,-0.0003061296883970499,-0.0005496739759109914,-0.0002895848301704973,1.2545355558395386,1.5651918649673462,0.013414331711828709,0.5736698508262634,-0.41000115871429443,0.41234859824180603,0.5768626928329468
236351.30401199998,34157543,0.22,-0.0002435883943689987,-0.0006008899654261768,-0.0003308284794911742,1.251931071281433,1.5652090311050415,0.010808460414409637,0.5736714601516724,-0.4100092947483063,0.41234123706817627,0.5768606066703796
236351.318008,34171540,0.22,-0.0001707415358396247,-0.0006631874130107462,-0.00037955326843075454,1.2483091354370117,1.5652309656143188,0.007182473316788673,0.5736726522445679,-0.41002076864242554,0.41233208775520325,0.5768577456474304
236351.33400899998,34187540,0.77,0.00044542551040649414,-0.0006698466022498906,-0.0005155910621397197,1.2609797716140747,1.5653455257415771,0.020076720044016838,0.5737661123275757,-0.40996047854423523,0.4122638702392578,0.5768564343452454
236351.34801299998,34201544,0.77,0.0011319986078888178,-0.0006389369373209774,-0.0006422485457733274,1.2584781646728516,1.5653578042984009,0.017570702359080315,0.5737658739089966,-0.40996822714805603,0.41225868463516235,0.5768548846244812
236351.36601,34219542,0.77,0.0013777912827208638,-0.0006990935071371496,-0.0007259401027113199,1.2559781074523926,1.5653743743896484,0.015053908340632915,0.5737642049789429,-0.4099804162979126,0.4122562110424042,0.576849639415741
236351.378007,34231539,0.77,0.001005019643343985,-0.0008090490009635687,-0.0007002042257227004,1.2582893371582031,1.5653886795043945,0.01737096533179283,0.5737721920013428,-0.40997815132141113,0.41225504875183105,0.5768441557884216
236351.39603099998,34249562,0.28,0.0011204289039596915,-0.0008716361480765045,-0.0007487615803256631,1.256712555885315,1.5654771327972412,0.015973225235939026,0.5738325119018555,-0.40994757413864136,0.4121827185153961,0.5768575668334961
236351.408015,34261547,0.28,0.0012013522209599614,-0.0009168818942271173,-0.0007827880326658487,1.2548253536224365,1.5655016899108887,0.014064071699976921,0.5738328695297241,-0.4099619388580322,0.41218101978302,0.5768482089042664
236351.426003,34279583,0.28,0.0011462909169495106,-0.0007723399321548641,-0.0006773493951186538,1.2503184080123901,1.565503478050232,0.009549618698656559,0.5738268494606018,-0.40997129678726196,0.4121760427951813,0.5768511295318604
236351.436055,34289635,0.14,0.0011732791317626834,-0.0008391244919039309,-0.0006754493224434555,1.242856740951538,1.5655534267425537,0.002229593228548765,0.5738621950149536,-0.4099520742893219,0.41211381554603577,0.5768740177154541
236351.440019,34293599,0.14,0.001192936091683805,-0.0008595567778684199,-0.000680716591887176,1.2425923347473145,1.565563678741455,0.001970086945220828,0.5738659501075745,-0.40995314717292786,0.4121098816394806,0.5768724083900452
236351.44200799998,34295587,0.14,0.0012029660865664482,-0.0008699173340573907,-0.000683133490383625,1.244603157043457,1.5655696392059326,0.003977594431489706,0.5738691091537476,-0.4099523425102234,0.41211262345314026,0.5768678188323975
236351.44601299998,34299592,0.14,0.0012231870787218213,-0.0008909221505746245,-0.0006880355649627745,1.24662446975708,1.5655778646469116,0.005994031205773354,0.5738726854324341,-0.40995240211486816,0.4121153652667999,0.5768622756004333
236351.450009,34303589,0.14,0.0012435795506462455,-0.0009119026944972575,-0.0006928144139237702,1.245619297027588,1.565584421157837,0.004991419613361359,0.5738739967346191,-0.4099545478820801,0.412111759185791,0.5768620371818542
236351.45200599998,34305585,0.14,0.0012539075687527657,-0.0009224424138665199,-0.0006951723480597138,1.245773196220398,1.5655890703201294,0.005142149515450001,0.573874831199646,-0.4099561870098114,0.41211196780204773,0.5768598914146423
236351.45601999998,34309599,0.14,0.0012747443979606032,-0.0009437069529667497,-0.0006998151657171547,1.2456583976745605,1.5655931234359741,0.005028114654123783,0.5738760232925415,-0.40995699167251587,0.41211074590682983,0.5768589973449707
236351.460013,34313593,0.14,0.0012957085855305195,-0.0009648401755839586,-0.0007038854528218508,1.2439569234848022,1.5655949115753174,0.003333213971927762,0.5738760828971863,-0.40995800495147705,0.412105917930603,0.5768616795539856
236351.46400399998,34317583,0.14,0.0013168163131922483,-0.0009859541896730661,-0.000707749743014574,1.2433360815048218,1.565591812133789,0.0027046718169003725,0.5738729238510132,-0.40996053814888,0.4121078550815582,0.5768616199493408
236351.468043,34321623,0.77,0.0007885399973019958,-0.001294498797506094,-0.0003598431358113885,1.2427639961242676,1.5656119585037231,0.0022265033330768347,0.5738974809646606,-0.4099384546279907,0.4120759069919586,0.5768757462501526
236351.470007,34323587,0.77,0.0007431232370436192,-0.0013312402879819274,-0.00032536202343180776,1.242401123046875,1.5656243562698364,0.0018641614587977529,0.5739007592201233,-0.4099413752555847,0.41207262873649597,0.576872706413269
236351.47400699998,34327586,0.77,0.0006524431519210339,-0.0014049591263756156,-0.0002563708112575114,1.241095781326294,1.565622329711914,0.0005522973951883614,0.5738974809646606,-0.4099448025226593,0.4120729863643646,0.5768733024597168
236351.478007,34331587,0.77,0.0005621028249152005,-0.0014786040410399437,-0.0001872626889962703,1.2404638528823853,1.5656194686889648,-8.613361569587141e-05,0.5738946199417114,-0.409947007894516,0.4120745062828064,0.5768734812736511
236351.482005,34335585,0.77,0.00047199285472743213,-0.0015522278845310211,-0.00011818271013908088,1.240204095840454,1.5656218528747559,-0.00034956177114509046,0.5738942623138428,-0.4099489450454712,0.4120747148990631,0.5768723487854004
236351.484008,34337588,0.77,0.00042692202259786427,-0.0015891909133642912,-8.366282418137416e-05,1.239151954650879,1.5656272172927856,-0.0013997337082400918,0.5738950967788696,-0.4099510610103607,0.41207143664360046,0.5768722891807556
