wall_time,repeat_idx,direction,interp_idx,flexiv_x,flexiv_y,flexiv_z,flexiv_rw,flexiv_rx,flexiv_ry,flexiv_rz,slam_host_ts,slam_edge_ts,slam_confidence,slam_x,slam_y,slam_z,slam_roll,slam_pitch,slam_yaw,slam_qw,slam_qx,slam_qy,slam_qz
1766058113.3100572,0,+X,1,0.46485722064971924,0.008336884900927544,0.3698488175868988,0.5511095523834229,0.011602571234107018,0.8342755436897278,-0.011312060989439487,13134.467455,12430488470,1.0,-0.00018940975132863969,-0.0005826615961268544,-0.008495815098285675,-0.4084269404411316,-0.0006345561123453081,-0.0006763394339941442,-0.20279690623283386,-0.0003792650531977415,-0.0003954858402721584,0.9792206883430481
1766058113.661978,0,+X,2,0.47491541504859924,0.008523750118911266,0.3694286346435547,0.5514245629310608,0.011797039769589901,0.8340593576431274,-0.01169592048972845,13134.819443999999,12430840467,1.0,-0.000682310143020004,-0.0022457558661699295,-0.017854832112789154,-0.40756288170814514,0.0002962522266898304,-0.0007845676736906171,-0.20237401127815247,6.567308446392417e-05,-0.0003541899495758116,0.9793082475662231
1766058114.0138514,0,+X,3,0.4848959445953369,0.008618197403848171,0.3691067695617676,0.5516860485076904,0.011975010856986046,0.8338803052902222,-0.011948831379413605,13135.171419999999,12431192451,1.0,0.0002741400385275483,-0.00329760555177927,-0.02833367884159088,-0.406880646944046,0.0012663708766922355,-0.0012560506584122777,-0.20204021036624908,0.0004932411247864366,-0.0004871449200436473,0.9793769717216492
1766058114.3656585,0,+X,4,0.49488916993141174,0.008663363754749298,0.3688422739505768,0.5519187450408936,0.01206476055085659,0.8337231874465942,-0.012074303813278675,13135.523466999999,12431544503,1.0,-0.0007468037074431777,-0.0037059716414660215,-0.03726005554199219,-0.40712881088256836,0.002126590581610799,-0.002118749311193824,-0.20216229557991028,0.0008271753322333097,-0.0008225430501624942,0.9793513417243958
1766058114.7168312,0,+X,5,0.5048561096191406,0.008742201142013073,0.36866557598114014,0.5520524978637695,0.012129371054470539,0.8336323499679565,-0.012166235595941544,13135.875423,12431896463,1.0,0.0004425469087436795,-0.004122413694858551,-0.04837751016020775,-0.40777814388275146,0.0028579887002706528,-0.002939258934929967,-0.2024810016155243,0.0011018236400559545,-0.0011498448438942432,0.9792848825454712
1766058115.0681832,0,+X,6,0.5148619413375854,0.008766821585595608,0.36854180693626404,0.5521787405014038,0.012201618403196335,0.8335464596748352,-0.012248802930116653,13136.227440999999,12432248484,1.0,6.2380830058828e-05,-0.0043091801926493645,-0.05783598870038986,-0.4075150489807129,0.0030512402299791574,-0.0028773583471775055,-0.20235224068164825,0.00120294070802629,-0.0011002056999132037,0.979311466217041
1766058115.419422,0,+X,7,0.524840235710144,0.008752197027206421,0.36848345398902893,0.552273154258728,0.012197953648865223,0.8334835767745972,-0.01227412186563015,13136.577532,12432598579,1.0,0.00039837509393692017,-0.005083128809928894,-0.0688638761639595,-0.40755829215049744,0.0035244603641331196,-0.003175330115482211,-0.20237389206886292,0.0014044665731489658,-0.001198186306282878,0.9793065786361694
1766058115.7203865,0,+X,8,0.5340113639831543,0.008205120451748371,0.368905246257782,0.5521917343139648,0.012058673426508904,0.8335418701171875,-0.012118029408156872,13136.879520999999,12432900566,1.0,-0.000927802873775363,-0.0032742777839303017,-0.07668116688728333,-0.4087499976158142,0.002979047829285264,-0.003075361717492342,-0.20295698940753937,0.0011464419076219201,-0.0012033701641485095,0.9791862368583679
1766058116.0212827,0,+X,9,0.5440882444381714,0.008234580978751183,0.3688403069972992,0.5522421598434448,0.012041413225233555,0.8335089087486267,-0.01210596039891243,13137.179441,12433200493,1.0,-0.00019208584853913635,-0.004249809309840202,-0.08755595237016678,-0.4087095856666565,0.0025968304835259914,-0.0031756944954395294,-0.20293700695037842,0.0009491660166531801,-0.0012913114624097943,0.979190468788147
1766058116.3223977,0,+X,10,0.5540856122970581,0.00825174804776907,0.36887261271476746,0.5521880388259888,0.012018492445349693,0.8335446119308472,-0.012137390673160553,13137.481568,12433502625,1.0,-0.0010303384624421597,-0.003321895143017173,-0.0961989089846611,-0.40903571248054504,0.002385174622759223,-0.0034681649412959814,-0.2030966728925705,0.00081554742064327,-0.0014557322720065713,0.9791572690010071
